PID,COMM,VA,PFN,mapping,folio_index,start_ns,latency_ns
1752,pipewire-pulse,0x7029fa777000,0x125b02,00000000cad2b698,2,1.92914E+13,1652908
1752,pipewire-pulse,0x7029fa778000,0x125b01,00000000cad2b698,3,1.92914E+13,1654745
1752,pipewire-pulse,0x7029fa779000,0x125b00,00000000cad2b698,4,1.92914E+13,1656452
1752,pipewire-pulse,0x7029fa77a000,0x11679f,00000000cad2b698,5,1.92914E+13,1658371
1752,pipewire-pulse,0x7029fa77b000,0x11df0c,00000000cad2b698,6,1.92914E+13,1660148
1752,pipewire-pulse,0x7029fa77c000,0x115668,00000000cad2b698,7,1.92914E+13,1661770
1752,pipewire-pulse,0x7029fa76c000,0x115664,00000000cfcfbc9e,0,1.92914E+13,1675132
1752,pipewire-pulse,0x7029fa76d000,0x115661,00000000cfcfbc9e,1,1.92914E+13,1676843
1752,pipewire-pulse,0x7029fa76e000,0x10c09f,00000000cfcfbc9e,2,1.92914E+13,1678341
1752,pipewire-pulse,0x7029fa76f000,0x10c09c,00000000cfcfbc9e,3,1.92914E+13,1679303
1752,pipewire-pulse,0x7029fa771000,0x10c095,00000000cfcfbc9e,5,1.92914E+13,1680884
1752,pipewire-pulse,0x7029fa772000,0x10c093,00000000cfcfbc9e,6,1.92914E+13,1681650
1752,pipewire-pulse,0x7029fa773000,0x10c092,00000000cfcfbc9e,7,1.92914E+13,1682444
1752,pipewire-pulse,0x7029fa775000,0x1123de,00000000611c7796,0,1.92942E+13,209212
1752,pipewire-pulse,0x7029fa776000,0x1123df,00000000611c7796,1,1.92942E+13,210854
1752,pipewire-pulse,0x7029fa777000,0x111940,00000000611c7796,2,1.92942E+13,211757
1752,pipewire-pulse,0x7029fa778000,0x111941,00000000611c7796,3,1.92942E+13,212742
1752,pipewire-pulse,0x7029fa779000,0x111942,00000000611c7796,4,1.92942E+13,213583
1752,pipewire-pulse,0x7029fa77a000,0x111943,00000000611c7796,5,1.92942E+13,214565
1752,pipewire-pulse,0x7029fa77b000,0x111b7d,00000000611c7796,6,1.92942E+13,215402
1752,pipewire-pulse,0x7029fa77c000,0x111b7b,00000000611c7796,7,1.92942E+13,216383
1752,pipewire-pulse,0x7029fa76c000,0x111b7a,000000001d04570c,0,1.92942E+13,225592
1752,pipewire-pulse,0x7029fa76d000,0x111b76,000000001d04570c,1,1.92942E+13,226647
1752,pipewire-pulse,0x7029fa76e000,0x1172c8,000000001d04570c,2,1.92942E+13,227476
1752,pipewire-pulse,0x7029fa76f000,0x1172c6,000000001d04570c,3,1.92942E+13,228403
1752,pipewire-pulse,0x7029fa771000,0x111b7e,000000001d04570c,5,1.92942E+13,229940
1752,pipewire-pulse,0x7029fa772000,0x1172c7,000000001d04570c,6,1.92942E+13,230734
1752,pipewire-pulse,0x7029fa773000,0x111b79,000000001d04570c,7,1.92942E+13,231524
1752,pipewire-pulse,0x7029fa775000,0x8bbeb,00000000cad2b698,0,1.93354E+13,1437265
1752,pipewire-pulse,0x7029fa776000,0x8aa54,00000000cad2b698,1,1.93354E+13,1444228
1752,pipewire-pulse,0x7029fa777000,0x21814,00000000cad2b698,2,1.93354E+13,1446451
1752,pipewire-pulse,0x7029fa778000,0xab985,00000000cad2b698,3,1.93354E+13,1448280
1752,pipewire-pulse,0x7029fa779000,0xac53d,00000000cad2b698,4,1.93354E+13,1450457
1752,pipewire-pulse,0x7029fa77a000,0x4fc8d,00000000cad2b698,5,1.93354E+13,1452357
1752,pipewire-pulse,0x7029fa77b000,0xc4c8c,00000000cad2b698,6,1.93354E+13,1454122
1752,pipewire-pulse,0x7029fa77c000,0x656d4,00000000cad2b698,7,1.93354E+13,1455832
1752,pipewire-pulse,0x7029fa76c000,0x8efb4,00000000925bbd7d,0,1.93354E+13,1469005
1752,pipewire-pulse,0x7029fa76d000,0x69695,00000000925bbd7d,1,1.93354E+13,1470822
1752,pipewire-pulse,0x7029fa76e000,0x7ff8c,00000000925bbd7d,2,1.93354E+13,1472407
1752,pipewire-pulse,0x7029fa76f000,0x26cba,00000000925bbd7d,3,1.93354E+13,1473578
1752,pipewire-pulse,0x7029fa771000,0x6d3cf,00000000925bbd7d,5,1.93354E+13,1475672
1752,pipewire-pulse,0x7029fa772000,0x618ac,00000000925bbd7d,6,1.93354E+13,1476589
1752,pipewire-pulse,0x7029fa773000,0xc2efe,00000000925bbd7d,7,1.93354E+13,1477517
1752,pipewire-pulse,0x7029fa761000,0x55b72,000000001d31c8a5,1,1.93355E+13,1902339
